                                          name                                           |    weight     |         measure         | kcal | kind 
 Biscoito / bolacha Club /Clube Social                                                   | 26 g          | 1 pacote                |  121 | b
 Biscoito / bolacha recheado Club / Clube Social                                         | 28 g          | 1 pacote                |  139 | b
 Biscoito Bono recheado chocolate - Nestle                                               | 10 g          | 1 unidade               |   47 | b
 Biscoito Bono recheado morango - Nestle                                                 | 10 g          | 1 unidade               |   48 | b
 Biscoito Calipso Branco                                                                 | 7 g           | 1 unidade               |   33 | b
 Biscoito Calipso Original                                                               | 6 g           | 1 unidade               |   28 | b
 Biscoito caseiro com açúcar                                                             | 10g           | 2 unidades              |   70 | b
 Biscoito caseiro sabor dueto chocolate sem adição de açúcar                             | 20 g          | 4 unidades              |   46 | b
 Biscoito caseiro sabor laranja sem adição de açúcar                                     | 20 g          | 4 unidades              |   87 | b
 Biscoito caseiro sabor nata sem adição de açúcar                                        | 20 g          | 4 unidades              |   46 | b
 Biscoito caseiro sequilhos de milho com erva doce sem adição de açúcar                  | 20 g          | 4 unidades              |   60 | b
 Biscoito caseiro sequilhos light                                                        | 20 g          | 4 unidades              |   83 | b
 Biscoito champagne/champanhe                                                            | 20 g          | 1 unidade               |   44 | b
 Biscoito Classic Mini Torta NESTLÉ                                                      | 6 g           | 1 unidade               |   29 | b
 Biscoito Classic Recheado Chocolate NESTLÉ                                              | 12 g          | 1 unidade               |   56 | b
 Biscoito Clube Social                                                                   | 75 g          | 1 pacotinho             |  111 | b
 Biscoito Clube Social sabor pizza                                                       | 25 g          | 1 porção                |  110 | b
 biscoito coberto com chocolate Bienne (mosmann)                                         | 12g           | 1 unidade               |   52 | b
 Biscoito Coco Nestlé                                                                    | 12 g          | 2 unidades              |   52 | b
 Biscoito Combina Com Integral Salgado com Centeio - Nestlé                              | 30 g          | 8 unidades              |  136 | b
 Biscoito Combina Com Integral Salgado com Gergelim - Nestlé                             | 30 g          | 8 unidades              |  136 | b
 Biscoito Combina Com Integral Salgado - Nestlé                                          | 30 g          | 8 unidades              |  137 | b
 Biscoito Combina com seu dia 3 cereais - Nestlé                                         | 21 g          | 1 pacote                |   92 | b
 Biscoito Combina com seu dia Original - Nestlé                                          | 21 g          | 1 pacote                |   93 | b
 Biscoito cookies baunilha com gotas de chocolate light - Taeq                           | 15 g          | 3 unidades              |   64 | b
 Biscoito cookies chocolate com gotas de chocolate light - Taeq                          | 15 g          | 3 unidades              |   65 | b
 Biscoito cookies integral banana com gotas de chocolate - Taeq                          | 10 g          | 2 unidades              |   41 | b
 Biscoito cookies integral cacau - Jasmine                                               | 12 g          | 2 unidades              |   51 | b
 Biscoito cookies integral castanha do Pará- Jasmine                                     | 12 g          | 2 unidades              |   54 | b
 Biscoito cookies integral de aveia e mel - Taeq                                         | 10 g          | 4 unidades              |   80 | b
 Biscoito cookies integral de café - Jasmine                                             | 12 g          | 2 unidades              |   51 | b
 Biscoito cookies integral de chocolate Sollys - Nestlé                                  | 15 g          | 3 unidades              |   60 | b
 Biscoito cookies integral de coco - Jasmine                                             | 12 g          | 2 unidades              |   50 | b
 Biscoito cookies integral de mel Sollys - Nestlé                                        | 15 g          | 3 unidades              |   61 | b
 Biscoito cookies integral frutas cítricas - Jasmine                                     | 12 g          | 2 unidades              |   50 | b
 Biscoito cookies integral light cacau - Jasmine                                         | 16 g          | 4 unidades              |   65 | b
 Biscoito cookies integral light castanha do Pará- Jasmine                               | 16 g          | 4 unidades              |   68 | b
 Biscoito cookies integral light frutas cítricas - Jasmine                               | 16 g          | 4 unidades              |   63 | b
 Biscoito cookies integral light limão - Jasmine                                         | 35 g          | 10 unidades             |  138 | b
 Biscoito cookies integral limão - Jasmine                                               | 30 g          | 5 unidades              |  124 | b
 Biscoito cookies integral orgânico castanha do Pará - Jasmine                           | 11 g          | 3 unidades              |   47 | b
 Biscoito cookies integral orgânico soja e mel - Jasmine                                 | 11 g          | 3 unidades              |   45 | b
 Biscoito Crackers 7 Grãos Aymoré                                                        | 30g           | 7 biscoitos             |  126 | b
 Biscoito crackers Folhata ADRIA                                                         | 30 g          | 5 unidades              |  140 | b
 Biscoito Crackers Gergelim ADRIA                                                        | 15 g          | 3 unidades              |   68 | b
 Biscoito Crackers Original ADRIA                                                        | 15 g          | 3 unidades              |   66 | b
 Biscoito cream cracker                                                                  | 20 g          | 4 unidades              |   83 | b
 Biscoito Crocantíssimo queijo e cebola                                                  | 25 g          | 1 porção                |  117 | b
 Biscoito de amendoim sem glútem Bem Nutrir                                              | 30 g          | 3 unidades              |  112 | b
 Biscoito de araruta e coco Bem Nutrir                                                   | 30 g          | 3 unidades              |  114 | b
 Biscoito de araruta e gergelim sem glútem Bem Nutrir                                    | 30 g          | 3 unidades              |  119 | b
 Biscoito de aveia e mel - Nestle                                                        | 18 g          | 2 unidades              |   53 | b
 Biscoito de côco - Bauducco                                                             | 100 g         | 6 unidades              |  130 | b
 Biscoito de coco com doce de leite - Sentir Bem                                         | 15 g          | 10 unidades             |  100 | b
 Biscoito de coco sem gluten Bem Nutrir                                                  | 130 g         | 6 unidades              |  114 | b
 Biscoito Deditos - Nestlé                                                               | 30 g          | 6 unidades              |  148 | b
 Biscoito de leite Passatempo                                                            | 30 g          | 5 unidades              |  134 | b
 Biscoito de leite - Piraque                                                             | 9 g           | 2 unidades              |   40 | b
 Biscoito de leite - Tostines                                                            | 15 g          | 3 unidades              |   64 | b
 Biscoito de maisena                                                                     | 15 g          | 3 unidades              |   67 | b
 Biscoito de polvilho doce                                                               | 20 g          | 1 xícara                |   88 | b
 Biscoito de polvilho salgado                                                            | 20 g          | 1 xícara                |   92 | b
 Biscoito de polvilho salgado Kunzler                                                    | 30 g          | 1 pacote                |  118 | b
 Biscoito doce Sembei com gergelim                                                       | 30 g          | 6 unidades              |  132 | b
 Biscoito Equilibri                                                                      | 100 g         | 1 porção                |  100 | b
 Biscoito Integral de Aveia e Mel Nestlé                                                 | 30 g          | 5 unidades              |  128 | b
 Biscoito integral de aveia - VITAO                                                      | 15 g          | 2 unidades              |   68 | b
 Biscoito integral de cebola Jasmine                                                     | 25 g          | 17 unidades             |   95 | b
 Biscoito integral gergelim e linhaça - Jasmine                                          | 13 g          | 8 unidades              |   50 | b
 Biscoito integral óleo e orégano Jasmine                                                | 25 g          | 17 unidades             |   98 | b
 Biscoito integral salgado - Nestlé                                                      | 30 g          | 8 unidades              |  138 | b
 Biscoito integral semente de girassol - Vitao                                           | 15 g          | 2 unidades              |   71 | b
 biscoito levissimo light bauducco                                                       | 30            | 6 1/2 unidade           |  106 | b
 Biscoito Maizena tradicional                                                            | 30 g          | 6 unidades              |  128 | b
 Biscoito Maria Qualitá                                                                  | 30 g          | 6 biscoitos             |  112 | b
 Biscoito milho com erva doce - Parati                                                   | 30 g          | 6 biscoitos             |  145 | b
 Biscoito Negresco Nestlé                                                                | 30 g          | 3 unidades              |  132 | b
 Biscoito Pit Stop Integral MARILAN                                                      | 162 g         | 1 embalagem             |  126 | b
 Biscoito Pit Stop light Marilan                                                         | 24 g          | 6 biscoitos             |  104 | b
 Biscoito Pit Stop (Pão na chapa)                                                        | 27g           | 6 biscoitos             |  122 | b
 Biscoito Pit Stop Pizza                                                                 | 27 g          | 1 pacote                |  120 | b
 Biscoito recheado morango - Visconti                                                    | 140 g         | 1 pacote                |  473 | b
 Biscoito ricota com ervas finas integral - Sentir Bem                                   | 120 g         | 10 unidades             |  102 | b
 Biscoito Ricota com Ervas Finas Integral - Sentir Bem                                   | 30 g          | 10 unidades             |  102 | b
 Biscoito sabor leite com gotas de chocolate Bauducco                                    | 30 g          | 5,5 unidades            |  128 | b
 Biscoito Salclic Integral - Nestlé                                                      | 30 g          | 1 pacote                |  128 | b
 Biscoito Salclic Original - Nestlé                                                      | 30 g          | 1 pacote                |  142 | b
 Biscoito salgado água e sal Piraquê                                                     | 30 g          | 8 unidades              |  126 | b
 Biscoito salgado cracker com gergelim - Isabela                                         | 30 g          | 6 unidades              |  144 | b
 biscoito salgado integral panco                                                         | 30g           | 6 unidades              |  123 | b
 Biscoitos Baker                                                                         | 27 g          | 2 biscoitos             |  126 | b
 Biscoitos Belvita (ao Leite com Grão de Aveia)                                          | 30 g          | 3 unidades              |  135 | b
 Biscoitos Belvita (Mel e Cacau)                                                         | 30 g          | 3 unidades              |  137 | b
 Biscoitos Mabel 100 Calorias                                                            | 21 g          | 1 pacote                |  100 | b
 Biscoito Tickroc Wickbold                                                               | 27 g          | 6 unidades              |  103 | b
 Biscoito wafer recheado de morango                                                      | 15 g          | 2 unidades              |   77 | b
 Bisnaguinha Egg Sponge PANCO                                                            | 30 g          | 1 unidade               |  163 | b
 Bisnaguinha PANCO                                                                       | 36 g          | 2 unidades              |  109 | b
 Bisnaguinha - Seven Boys                                                                | 20 g          | 1 unidade               |   59 | b
 Blanquet de peru light                                                                  | 15 g          | 1 fatia                 |   14 | b
 Bolacha 3 cerais nestlé                                                                 | 21 g          | 1 porção                |   92 | b
 Bolacha Belvita Aveia                                                                   | 30g           | 1 porção                |  138 | b
 Bolacha Cream Cracker Mabel                                                             | 30 g          | 4 unidades              |   90 | b
 Bolacha cream craker "Bauducco"                                                         | 30 g          | 1 porção                |  130 | b
 Bolacha de água e sal                                                                   | 8 g           | 1 unidade               |   32 | b
 Bolacha de arroz Makrokant                                                              | 30 g          | 3 unidades              |  166 | b
 Bolacha de arroz natural - Makro Kant                                                   | 30 g          | 3 unidades              |  166 | b
 Bolacha de arroz sabor Gergelim - Makro Kant                                            | 30 g          | 3 unidades              |  169 | b
 Bolacha de arroz sabor Linhaça - Makro Kant                                             | 30 g          | 3 unidades              |  169 | b
 Bolacha de arroz sabor orégano - Makro Kant                                             | 30 g          | 3 unidades              |  166 | b
 Bolacha de coco                                                                         | 30 g          | 25 unidades             |  134 | b
 Bolacha de leite                                                                        | 30 g          | 6 unidades              |  146 | b
 Bolacha de Natal                                                                        | 30 g          | 1 unidade               |  122 | b
 Bolacha Eqlibri / Panetini                                                              | 23 g          | 1 pacote                |  100 | b
 Bolacha Maizena Tostines                                                                | 30 g          | 6 unidades              |  132 | b
 Bolacha Maria                                                                           | 15g           | 1 unidade               |   92 | b
 Bolacha recheada de chocolate                                                           | 10 g          | 1 unidade               |   47 | b
 Bolacha recheada de morango                                                             | 10 g          | 1 unidade               |   47 | b
 Bolacha rosquinha de Coco                                                               | 30 g          | 1 porção                |  130 | b
 Bolachas                                                                                | 30 g          | 3 unidades              |  125 | b
 Bolacha tortinha limão                                                                  | 30 g          | 4,5 unidades            |  147 | b
 Bolacha tortinhas de chocolate tipo Suiço - Isabela                                     | 30g           | 4 e 1/2 unidades        |  148 | b
 Bolacha tortinhas trufas - Isabela                                                      | 30g           | 4 e 1/2 unidades        |  147 | b
 Bolinho Bauducco Chocolate                                                              | 40 g          | 1 unidade               |  159 | b
 Bolinho com Recheio de Baunilha Light - SUAVIPAN                                        | 40 g          | 1 unidade               |  120 | b
 Bolinho de aipim com recheio de carne moída                                             | 50g           | 1 unidade               |   86 | b
 Bolinho de carne (carne magra)                                                          | 25g           | 1 unidade               |   76 | b
 Bolinho Integral 7 Grãos - SUAVIPAN                                                     | 40 g          | 1 unidade               |  124 | b
 Bolinho Integral Sabor Castanha do Pará - SUAVIPAN                                      | 40 g          | 1 unidade               |  136 | b
 Bolo Bicho de Pé - Amos aos Pedaços                                                     | 60 g          | 1 unidade               |  194 | b
 Bolo Branco Simples                                                                     | 50 g          | 1 fatia                 |  159 | b
 Bolo com cenoura sem glúten - Aminna                                                    | 60 g          | 1 fatia                 |  139 | b
 Bolo com Gota de Chocolate Café da Manhã WICKBOLD                                       | 60 g          | 1 fatia                 |  237 | b
 Bolo comum (bolo simples)                                                               | 60 g          | 1 fatia                 |  214 | b
 Bolo Crocante - Amor aos pedaços                                                        | 60 g          | 1 unidade               |  168 | b
 Bolo de aipim (mandioca)                                                                | 50 g          | 1 fatia                 |  162 | b
 Bolo de banana sem glúten - Aminna                                                      | 70 g          | 1 fatia                 |  200 | b
 Bolo de cacau 100% integral                                                             | 100 g         | 1 fatia                 |  200 | b
 bolo de cenoura caseiro                                                                 | 50 g          | 1 fatia                 |  135 | b
 Bolo de cenoura com cobertura de chocolate                                              | 60 g          | 1 fatia                 |  252 | b
 Bolo de cenoura integral                                                                | 100 g         | 1 pedaço                |  214 | b
 Bolo de cereais                                                                         | 80 g          | 1 fatia                 |   85 | b
 Bolo de chocolate                                                                       | 60 g          | 1 fatia                 |  246 | b
 Bolo de chocolate com granulado Ana Maria (tradicional)                                 | 60 g          | 1 fatia                 |  193 | b
 Bolo de Chocolate Zero Casa Suiça                                                       | 40g           | 1 fatia                 |  137 | b
 Bolo de coco                                                                            | 60 g          | 1 fatia                 |  262 | b
 Bolo de côco - Nutrella                                                                 | 60 g          | 1 fatia                 |  203 | b
 Bolo de Festa (recheio de pêssego ou abacaxi e cobertura de chantilly)                  | 50 g          | 1 fatia                 |  160 | b
 Bolo de fubá                                                                            | 60 g          | 1 fatia                 |  192 | b
 Bolo de fubá                                                                            | 50 g          | 1 fatia                 |  310 | b
 Bolo de laranja                                                                         | 60 g          | 1 fatia                 |  172 | b
 Bolo de maçã com gengibre                                                               | 50 g          | 1 unidade               |  253 | b
 Bolo de milho                                                                           | 60 g          | 1 fatia                 |  186 | b
 Bolo Doce de Abobrinha                                                                  | 50 g          | 1 fatia                 |  165 | b
 Bolo Formigueiro Sem glúten - Aminna                                                    | 60 g          | 1 fatia                 |  193 | b
 Bolo Frappé Califórnia Baunilha e Chocolate - PULLMAN                                   | 60 g          | 1 fatia                 |  195 | b
 Bolo Frappé Califórnia e Chocolate Recheado  - PULLMAN                                  | 60 g          | 1 fatia                 |  228 | b
 Bolo Frappé Coco e Chocolate PULLMAN                                                    | 60 g          | 1 fatia                 |  199 | b
 Bolo Frutas Vermelhas - Amor aos pedaços                                                | 60 g          | 1 unidade               |  143 | b
 Bolo Georgia - Amor aos pedaços                                                         | 60 g          | 1 unidade               |  154 | b
 bolo light Fin'Arte de nozes e damasco                                                  | 60g           | 1 fatia                 |  184 | b
 Bolo Máxximo Chocolate e Coco - PULLMAN                                                 | 40 g          | 1 unidade               |  132 | b
 Bolo Máxximo Torta de Limão - PULLMAN                                                   | 40 g          | 1 unidade               |  130 | b
 Bolo Mesclado - Amor aos pedaços                                                        | 60 g          | 1 unidade               |  151 | b
 Bolo Negro - Amor aos pedaços                                                           | 60 g          | 1 unidade               |  147 | b
 Bolo Recheado Chocolate - PULLMAN                                                       | 60 g          | 1 fatia                 |  227 | b
 Bolo Recheado Romeu e Julieta - PULLMAN                                                 | 60 g          | 1 fatia                 |  230 | b
 Bombom Alô Doçura                                                                       | 16 g          | 1 unidade               |   90 | b
 Bombom zero açúcar                                                                      | 30 g          | 1 unidade               |   48 | b
 Brigadeiro - Amor aos pedaços                                                           | 40 g          | 2 unidades              |  103 | b
 Brigadeiro Branco - Amor aos pedaços                                                    | 40 g          | 2 unidades              |  102 | b
 Brigadeiro Caramelado com Nozes - Amor aos pedaços                                      | 40 g          | 1 unidade               |  127 | b
 Brigadeiro de Colher - Amor aos pedaços                                                 | 35 g          | 2 unidades              |  123 | b
 broa colonial integral e linho - CHARLOTTE                                              | 50 g          | 2 fatias                |  119 | b
 Broa de milho                                                                           | 80 g          | 1 unidade               |  150 | b
 brownie chocolate good soy                                                              | 38g           | 1 porção                |  149 | b
 Brownie orgânico sem Gluten                                                             | 50g           | 1 bolo                  |  224 | b
 Butter toffes caramelo - Arcor                                                          | 7 g           | 1 unidade               |   31 | b
 Butter toffes chocolate -  Arcor                                                        | 7 g           | 1 unidade               |   33 | b
 Café com Açúcar                                                                         | 50 ml         | 1 xícara de café        |   19 | b
 Café com chantilly pequeno                                                              | 75 ml         | 1 unidade               |   20 | b
 Café com leite grande                                                                   | 150 ml        | 1 unidade               |   48 | b
 Café com Leite - Nescafé                                                                | 22 g          | 1 colher de sopa        |   98 | b
 Café com leite pequeno                                                                  | 75 ml         | 1 unidade               |   26 | b
 Café Latte Macchiato - Dolce Gusto                                                      | 24 g          | 1 xícara                |   88 | b
 Cajuzinho                                                                               | 25 g          | 1 unidade               |   81 | b
 Caldo de cana                                                                           | 240 g         | 1 copo                  |  156 | b
 Caldo em pó Sazon                                                                       | 9g            | sachê                   |    7 | b
 Camarão ao Molho Apimentado - China in box                                              | 100 g         | 1 prato de sobremesa    |  119 | b
 Canapé quadrado integral - Taeq                                                         | 30 g          | 4 unidades              |  119 | b
 Canapé redondo integral - Taeq                                                          | 30 g          | 3 unidades              |  119 | b
 Canelone de ricota ao sugo                                                              | 290 g         | 1 porção                |  290 | b
 Canjica Amarela - Yoki                                                                  | 40 g          | 1 xícara de café        |  140 | b
 Canjica Cristal - Yoki                                                                  | 40 g          | 1 xícara de café        |  142 | b
 Canjica ( leite integral, canela e açúcar )                                             | 50 g          | 2 colheres de sopa      |   52 | b
 Capa de contra-filé sem gordura                                                         | 120 g         | 1 filé                  |  287 | b
 Capelete / Capelletti de carne - Frescatini                                             | 20 g          | 1 colher de sopa        |   60 | b
 Capelete / Capelletti de frango - Frescatini                                            | 20 g          | 1 colher de sopa        |   59 | b
 Capelete / Capelletti de ricota com espinafre - Frescatini                              | 20 g          | 1 colher de sopa        |   55 | b
 Capelete / Cappelletti de Carne Sadia                                                   | 20 g          | 1 colher de sopa        |   55 | b
 capeletti massa fresca - MASSALEVE - recheio de frango ou carne                         | 100g          | 1 xícara de chá         |  273 | b
 Cappuccino Dolce gusto - Nescafé                                                        | 25 g          | 1 unidade               |   84 | b
 Cappuccino em pó                                                                        | 15 g          | 1 colher de sopa        |   62 | b
 Cappuccino em pó diet - 3 corações                                                      | 14 g          | 2 colheres de sopa      |   64 | b
 Cappuccino em pó light - 3 corações                                                     | 14 g          | 2 colheres de sopa      |   49 | b
 Cappuccino light com canela em pó - Taeq                                                | 14 g          | 1 colher de sopa        |   45 | b
 Cappucino grande                                                                        | 150 ml        | 1 unidade               |   87 | b
 Cappucino pequeno                                                                       | 75 ml         | 1 unidade               |   44 | b
 cápsula de óleo de cártamo                                                              | 1gr           | 1 capsula               |    9 | b
 cápsula de óleo de coco                                                                 | 1g            | 1 cápsula               |    9 | b
 Cápsula de óleo de linhaça                                                              | 1g            | 2 cápsulas              |    9 | b
 Capuccino                                                                               | 8 g           | 1 colher de chá         |   20 | b
 Capuccino diet                                                                          | 6 g           | 1 colher de chá         |    3 | b
 Caranguejo                                                                              | 40 g          | 1 unidade               |   33 | b
 Carne ao Molho Curry - China in box                                                     | 100 g         | 1 prato de sobremesa    |  175 | b
 carne assada recheada                                                                   | 246g          | 1 pedaço                |  189 | b
 Carne com Batata - China in box                                                         | 100 g         | 1 prato de sobremesa    |  272 | b
 Carne com Brócolis - China in box                                                       | 100 g         | 1 prato de sobremesa    |  162 | b
 Carne com Cebola - China in box                                                         | 100 g         | 1 prato de sobremesa    |  200 | b
 Carne com Legumes - China in box                                                        | 100 g         | 1 prato de sobremesa    |  170 | b
 Carne com Moyashi - China in box                                                        | 100 g         | 1 prato de sobremesa    |  170 | b
 Carne de Carneiro                                                                       | 100 g         | 1 bife                  |  358 | b
 Carne de cordeiro magra                                                                 | 100 g         | 1 porção                |  162 | b
 carne de panela                                                                         | 100g          | 1 prato                 |  230 | b
 Carne de siri                                                                           | 100 g         | 1 xícara                |  100 | b
 Carne de Tatu                                                                           | 100g          | 1 bife                  |  174 | b
 Carne moida cozida (acém)                                                               | 25 g          | 1 colher de sopa        |   53 | b
 Carne vegetal  Superbom                                                                 | 40 g          | 3 colheres de sopa      |   77 | b
 Carpaccio de Carne                                                                      | 10 g          | 1 fatia                 |   29 | b
 Carte Dor Chocolate com Raspas - Kibon                                                  | 60 g          | 1 bola                  |  115 | b
 Carte Dor Papaya com Cassis - Kibon                                                     | 60 g          | 1 bola                  |  107 | b
 Casquinha de siri                                                                       | 80 g          | 1 unidade               |  134 | b
 Casquinha de sorvete                                                                    | 10 g          | 1 unidade               |   17 | b
 Castanha de caju orgânica natural - TAEQ                                                | 15 g          | 6 unidades              |   87 | b
 Caviar granulado preto ou vermelho                                                      | 20 g          | 1 colher de sopa        |   50 | b
 Cebola em Conserva                                                                      | 30 g          | 1 pires                 |   30 | b
 Cereal matinal Nutry clássico de banana                                                 | 40 g          | 1/2 xícara de chá       |  156 | b
 Cereal Nescau Nestlé                                                                    | 30 g          | 1 porção                |  116 | b
 Cerveja                                                                                 | 355 ml        | 1 unidade               |  156 | b
 Cerveja sem álcool                                                                      | 200 ml        | 1 copo                  |   52 | b
 Cevada Torrada e Moída - YOKI                                                           | 40 g          | 2 colheres de sopa      |  147 | b
 Chá gelado de limão - Nestea                                                            | 200 ml        | 1 unidade               |   69 | b
 Chá gelado de Maracujá - Nestea                                                         | 200 ml        | 1 unidade               |   70 | b
 Chá gelado de Mate - Nestea                                                             | 200 ml        | 1 unidade               |   78 | b
 Chá gelado de Pêssego - Nestea                                                          | 200 ml        | 1 unidade               |   70 | b
 Chá gelado de Tangerina - Nestea                                                        | 200 ml        | 1 unidade               |   70 | b
 Champagne                                                                               | 100 ml        | 1 taça                  |   91 | b
 Chá nestea limão                                                                        | 340 ml        | 1 lata                  |  117 | b
 charmant de peru pense light batavo                                                     | 100g          | 9 fatias                |  115 | b
 Charuto de Repolho - Habibs                                                             | 285 g         | 1 unidade               |  350 | b
 Charuto de Uva - Habibs                                                                 | 245 g         | 1 unidade               |  400 | b
 Cheeseburger Integral                                                                   | 100 g         | 1 prato de sobremesa    |  600 | b
 Chester fatiado                                                                         | 10 g          | 1 fatia                 |   18 | b
 Chicabon Picolé - Kibon                                                                 | 62 g          | 1 unidade               |  104 | b
 Chicken popcorn                                                                         | 130 g         | 23 unidades             |  293 | b
 chiclete sem açúcar mentos                                                              | 3g            | 1 1/2                   |    5 | b
 Chipa (Biscoito de polvilho e queijo)                                                   | 20 g          | 1 unidade               |   69 | b
 chocolate 0 lactose e 0 glúten cacau show                                               | 25g           | 3 retângulos            |  125 | b
 Chocolate à Base de Soja CHOCOSOY                                                       | 25 g          | 1 unidade               |  137 | b
 Chocolate Amargo - 72% de cacau -  Salware                                              | 8 g           | 1 unidade               |   43 | b
 Chocolate amargo 77 % Hachez                                                            | 25 g          | 1 pedaço                |  153 | b
 Chocolate Amargo com Amêndoas Talento Intense GAROTO                                    | 25 g          | 1 pedaço                |  133 | b
 Chocolate Amargo com Laranja Special Dark HERSHEY´S                                     | 25 g          | 1 pedaço                |  131 | b
 Chocolate &amp; Musli - Trio                                                            | 40 g          | 2 colheres de sopa      |   88 | b
 Chocolate ao Leite com Avelas Talento Diet GAROTO                                       | 25 g          | 1 porção                |  129 | b
 Chocolate ao Leite Diet                                                                 | 30 g          | 1 unidade               |  157 | b
 Chocolate Branco Laka - Lacta                                                           | 25 g          | 3 1/2 unidades          |  136 | b
 Chocolate Classic Meio Amargo - Nestlé                                                  | 25 g          | 3 pedaços               |  126 | b
 Chocolate em Pó Solúvel - Nestlé ( Chocolate do Padre / Dois Frades )                   | 40 g          | 1 colher de sopa        |   70 | b
 Chocolate meio amargo                                                                   | 30 g          | 1 unidade               |  142 | b
 Chocolate pequeno (bebida)                                                              | 75 ml         | 1 unidade               |   79 | b
 Chocosoy Diet                                                                           | 25 g          | 1 barra                 |  118 | b
 Chocosoy trufa                                                                          | 12 g          | 1 unidade               |   73 | b
 Chopp                                                                                   | 300 ml        | 1 copo                  |  120 | b
 Chop Suey - China in box                                                                | 100 g         | 1 prato de sobremesa    |  170 | b
 Churrasquinho de carne bovina                                                           | 100g          | 1 espetinho             |  100 | b
 Churrasquinho de frango                                                                 | 100g          | 1 espetinho             |   80 | b
 Chutney de Manga                                                                        | 60 g          | 2 colheres de sopa      |   60 | b
 Ciabatta                                                                                | 60 g          | 1 fatia                 |  142 | b
 coalhada adoçada integral bona sorte                                                    | 140 g         | 1 unidade               |  133 | b
 Coalhada Fresca Habibs                                                                  | 250 g         | 1 porção                |  160 | b
 Coalhada seca - Culinária árabe                                                         | 20 g          | 1 colher de sopa        |   32 | b
 Cobertura de chocolate light - TAEQ                                                     | 20 g          | 1 colher de sopa        |   31 | b
 Cobertura de frutas vermelhas light - TAEQ                                              | 20 g          | 1 colher de sopa        |   32 | b
 Cobertura de morango                                                                    | 40 g          | 2 colheres de sopa      |  102 | b
 Coco com maracujá diet - Flormel                                                        | 25 g          | 1 unidade               |  115 | b
 Composto lácteo Ideal - Nestlé                                                          | 28 g          | 2 colheres de sopa      |  137 | b
 Conchiglioni de peito de peru e mussarela light - Taeq                                  | 100 g         | 1 xícara                |  160 | b
 Conserva de beterraba Orgânica Agreco                                                   | 60 g          | 3 unidades              |   22 | b
 Conserva de cenoura Orgânica Agreco                                                     | 60 g          | 3 colheres de sopa      |   22 | b
 Conserva de vagem Orgânica Agreco                                                       | 60 g          | 3 colheres de sopa      |   11 | b
 Contra filé sem gordura                                                                 | 120 g         | 1 filé                  |  233 | b
 Cookie de aveia                                                                         | 50 g          | 1 pacote                |  214 | b
 Cookie de Aveia com Granola                                                             | 50 g          | 4 biscoitos             |  214 | b
 Cookie de Baunilha com Gotas de Chocolate Light - Taeq                                  | 40 g          | 1 sachê                 |  171 | b
 Cookie de Baunilha sem glúten - Quinua Real                                             | 10 g          | 1 unidade               |   48 | b
 Cookie de Cacau sem glúten - Quinua Real                                                | 10 g          | 1 unidade               |   47 | b
 Cookie de Chocolate com Gotas de Chocolate - Taeq                                       | 40 g          | 1 sachê                 |  173 | b
 Cookie de quinua e banana - Taeq                                                        | 40 g          | 1 sachê                 |  123 | b
 Cookie Integral de Aveia e Mel - Taeq                                                   | 40 g          | 1 sachê                 |  163 | b
 Cookie Integral de Banana com Gotas de Chocolate - Taeq                                 | 40 g          | 1 sachê                 |  167 | b
 Cookies Banana e Aveia Light                                                            | 20 g          | 1 unidade               |   26 | b
 Cookies cacau - Vitao                                                                   | 30 g          | 4 unidades              |  137 | b
 Cookies Chocco                                                                          | 30 g          | 2 unidades              |  115 | b
 Cookies de castanha do pará NUTRY                                                       | 35 g          | 1 pacote                |  160 | b
 Cookies de granola cacau e caju                                                         | 30 g          | 4 unidades              |  120 | b
 Cookies de granola light soja e mel - Kobber                                            | 30 g          | 4 unidades              |  118 | b
 Cookies GranPure Cacau e Castanhas                                                      | 15 g          | 1 cookie                |   60 | b
 Copa Sadia Speciale                                                                     | 6 g           | 1 fatia                 |   20 | b
 Coração de frango cozido                                                                | 25 g          | 5 unidades              |   45 | b
 Corimba - peixe                                                                         | 120 g         | 1 filé                  |  154 | b
 Corn Flakes / sucrilhos - Kelloggs                                                      | 50 g          | 1 1/4 xícara            |  110 | b
 Corvina de água doce - peixe                                                            | 120 g         | 1 filé                  |  121 | b
 Corvina do mar - peixe                                                                  | 120 g         | 1 filé                  |  176 | b
 Couve à mineira                                                                         | 80 g          | 5 colheres de sopa      |  100 | b
 Coxa de frango sem pele cozido / assado / grelhado                                      | 80 g          | 2 unidades              |  134 | b
